Método de Newton:
No intervalo [-1, 0]
	k		     xk				   f(xk)				   f'(xk)				   erro
	0	-1.0000000000000000	-16.0000000000000000	68.0000000000000000	0.42264973081037427
	1	-0.7647058823529411	-4.500464483395157	32.91306378036661	0.5773502691896257
	2	-0.6279679440854078	-0.9258880052310117	20.14915069575879	0.5773502691896257
	3	-0.5820162303277703	-0.07782297815803929	16.83539233056411	0.5773502691896257
	4	-0.5773936485292603	-0.0007168225490987723	16.5259569629542	0.5773502691896257
	5	-0.5773502729746279	-6.253986839510617e-08	16.523073378826496	0.5773502691896257
	6	-0.5773502691896257	4.440892098500626e-16	16.523073127217685	0.0


No intervalo [0,1]
	k		     xk				   f(xk)				   f'(xk)				   erro
	0	0.0000000000000000	3.0000000000000000	-1.0000000000000000	0.5773502691896257
	1	3.0	0.0	260.0	0.5773502691896257
	2	3.0	0.0	260.0	2.4226497308103743
